Rain (mm),Temp,Runoff (mm/day),Date
0,-3.7,0, 9/06/1979
0,2,3,10/06/1979
0.6,2.3,3.6,11/06/1979
0,-6.5,0,12/06/1979
0,-5.2,0,13/06/1979
0,-7,0,14/06/1979
0,-5.5,0,15/06/1979
0,-2.5,0,16/06/1979
0,-8,0,17/06/1979
0,-7.5,0,18/06/1979
0,-7.6,0,19/06/1979
0,-4,0,20/06/1979
3,-4,0,21/06/1979
17,0,0,22/06/1979
72.2,0,0,23/06/1979
8,0,0,24/06/1979
21,2,3,25/06/1979
3,-1.5,0,26/06/1979
8.1,1,1,27/06/1979
2.6,2.5,4,28/06/1979
13.2,1.5,2,29/06/1979
2,2.3,3.6,30/06/1979
6.5,0.5,0, 1/07/1979
1.5,-0.5,0, 2/07/1979
0.6,0.5,0, 3/07/1979
0.5,1.5,2, 4/07/1979
0,-3,0, 5/07/1979
0,-6,0, 6/07/1979
0,-6.1,0, 7/07/1979
0,-6,0, 8/07/1979
1.4,-0.4,0, 9/07/1979
5,0.5,0,10/07/1979
7.2,1.5,2,11/07/1979
0,-1,0,12/07/1979
2.2,0,0,13/07/1979
0.3,-2.5,0,14/07/1979
0,-4,0,15/07/1979
0,-3.5,0,16/07/1979
18.6,2.4,3.8,17/07/1979
7.2,-4,0,18/07/1979
0,-6,0,19/07/1979
2,-4,0,20/07/1979
10.2,2,3,21/07/1979
36.9,1.5,2,22/07/1979
0.1,-4,0,23/07/1979
2,-1,0,24/07/1979
4.5,-1.5,0,25/07/1979
12.8,-1,0,26/07/1979
0,-0.5,0,27/07/1979
0.6,2,3,28/07/1979
0,0.5,0,29/07/1979
1.3,-2.2,0,30/07/1979
0,1.5,2,31/07/1979
2,5,9, 1/08/1979
18.6,-2,0, 2/08/1979
0.4,-2,0, 3/08/1979
8,-2,0, 4/08/1979
23.1,2,3, 5/08/1979
17.2,-2.8,0, 6/08/1979
4,-3,0, 7/08/1979
2,-5.5,0, 8/08/1979
0,-8,0, 9/08/1979
5,-5,0,10/08/1979
0,-6,0,11/08/1979
13,-1,0,12/08/1979
28.6,3,5,13/08/1979
9.9,1,1,14/08/1979
2.2,-3,0,15/08/1979
0,-5,0,16/08/1979
0.2,-3.5,0,17/08/1979
15.4,-0.5,0,18/08/1979
5.6,2,3,19/08/1979
0,3.5,6,20/08/1979
9,-0.3,0,21/08/1979
0,-3.5,0,22/08/1979
0.3,2,3,23/08/1979
60.2,1.1,1.2,24/08/1979
25.4,-0.8,0,25/08/1979
2.4,-2,0,26/08/1979
0.2,-1.5,0,27/08/1979
0,-2.5,0,28/08/1979
1,-3.5,0,29/08/1979
0,3,5,30/08/1979
0.8,1,1,31/08/1979
1,5,9, 1/09/1979
0,-0.5,0, 2/09/1979
0,-3.5,0, 3/09/1979
0,-3,0, 4/09/1979
0,8.8,16.6, 5/09/1979
17,5.5,10, 6/09/1979
0,1.5,2, 7/09/1979
0,1.9,2.8, 8/09/1979
0,2,3, 9/09/1979
13,5,9,10/09/1979
11,0,0,11/09/1979
0.2,-2.5,0,12/09/1979
0,-2.5,0,13/09/1979
0,-2,0,14/09/1979
0,0.5,0,15/09/1979
0.2,10.5,20,16/09/1979
27,5,9,17/09/1979
5,1,1,18/09/1979
3.6,2,3,19/09/1979
2,-1,0,20/09/1979
1.4,3,5,21/09/1979
24.8,-1.2,0,22/09/1979
7.2,0.7,0.4,23/09/1979
2.4,-4.8,0,24/09/1979
0,-2.8,0,25/09/1979
6.8,3.8,6.6,26/09/1979
