Rain (mm),Temp,Runoff (mm/day),Date
8.6,3,5,23/07/1977
64,0,0,24/07/1977
32.8,0.5,0,25/07/1977
0.4,-5.4,0,26/07/1977
3,-1.5,0,27/07/1977
33.5,1.5,2,28/07/1977
21,-3,0,29/07/1977
4,-6.5,0,30/07/1977
0,-6.5,0,31/07/1977
0,-5.5,0, 1/08/1977
0,-4,0, 2/08/1977
0,2.5,4, 3/08/1977
11,2,3, 4/08/1977
0,-5.5,0, 5/08/1977
0,-4.5,0, 6/08/1977
0,-6,0, 7/08/1977
0,-2,0, 8/08/1977
0,-0.5,0, 9/08/1977
4.5,5.5,10,10/08/1977
28,4,7,11/08/1977
7.4,4,7,12/08/1977
9.6,5,9,13/08/1977
0,0,0,14/08/1977
0,-1,0,15/08/1977
0,2,3,16/08/1977
1.6,1,1,17/08/1977
3,0.5,0,18/08/1977
0,7.5,14,19/08/1977
51,1,1,20/08/1977
17,1,1,21/08/1977
12,-6.5,0,22/08/1977
0.2,-4.6,0,23/08/1977
0,-2.5,0,24/08/1977
1.2,0.5,0,25/08/1977
2,-4,0,26/08/1977
12,-6,0,27/08/1977
0.2,-5,0,28/08/1977
0,-3,0,29/08/1977
0,2,3,30/08/1977
3.3,9,17,31/08/1977
31,0,0, 1/09/1977
25.8,-1.5,0, 2/09/1977
26.6,-4,0, 3/09/1977
0,-1.5,0, 4/09/1977
0,-1,0, 5/09/1977
1.6,5.2,9.4, 6/09/1977
0,3,5, 7/09/1977
0,2,3, 8/09/1977
0,0.5,0, 9/09/1977
0.5,1,1,10/09/1977
0.6,2,3,11/09/1977
2,2,3,12/09/1977
0,1,1,13/09/1977
38.5,9,17,14/09/1977
34,5,9,15/09/1977
22,4,7,16/09/1977
12,6,11,17/09/1977
23,6,11,18/09/1977
0,7,13,19/09/1977
0,8,15,20/09/1977
0,2,3,21/09/1977
0,3,5,22/09/1977
0,4,7,23/09/1977
0,6,11,24/09/1977
0,4,7,25/09/1977
0,2,3,26/09/1977
3,1,1,27/09/1977
3,3,5,28/09/1977
2,2,3,29/09/1977
5,1,1,30/09/1977
12,1,1, 1/10/1977
2,1,1, 2/10/1977
36.8,1,1, 3/10/1977
0.3,0.5,0, 4/10/1977
0,-1.5,0, 5/10/1977
1,5,9, 6/10/1977
2.6,-1,0, 7/10/1977
11.6,1,1, 8/10/1977
19.4,1.5,2, 9/10/1977
5.4,6.1,11.2,10/10/1977
21.8,3.8,6.6,11/10/1977
0,6,11,12/10/1977
0,6.3,11.6,13/10/1977
0.2,5.4,9.8,14/10/1977
11,8.6,1.1,15/10/1977
0,-3,0,16/10/1977
0,1.8,0,17/10/1977
0,-3,0,18/10/1977
0,8,0,19/10/1977
10.3,2.3,0,20/10/1977
20.4,8.3,0,21/10/1977
22,5.5,0,22/10/1977
0,2.5,0,23/10/1977
19.1,-1,0,24/10/1977
1.2,2.8,4.6,25/10/1977
1,-4,0,26/10/1977
0,-1.4,0,27/10/1977
0,2.1,3.2,28/10/1977
0,9.3,12.3,29/10/1977
1,6.4,0,30/10/1977
0,2.3,0,31/10/1977
0,0,0, 1/11/1977
2,1.5,0, 2/11/1977
0,-3,0, 3/11/1977
0,2.5,0, 4/11/1977
0.4,3,0, 5/11/1977
48,5.8,0, 6/11/1977
15.8,5,0, 7/11/1977
2,0,0, 8/11/1977
0,2.5,2, 9/11/1977
0,4.1,0,10/11/1977
0.6,4.1,0,11/11/1977
0,-1,0,12/11/1977
0,2,0,13/11/1977
1.6,4.5,0,14/11/1977
2.6,4,0,15/11/1977
2,6,0,16/11/1977
0,8,0,17/11/1977
2,2.1,0,18/11/1977
0,8.2,0,19/11/1977
0,9.8,0,20/11/1977
0,7.8,0,21/11/1977
0,13,0,22/11/1977
27,12.5,0,23/11/1977
22,5.5,0,24/11/1977
0,3,0,25/11/1977
6.6,0,0,26/11/1977
0,-1,0,27/11/1977
0,-2,0,28/11/1977
0,4,6.6,29/11/1977
11,10,0,30/11/1977
78.5,7,0, 1/12/1977
0,0.4,0, 2/12/1977
0,5.7,0, 3/12/1977
0,-3.2,0, 4/12/1977
0,1,0, 5/12/1977
0,4.5,0, 6/12/1977
0,6,0, 7/12/1977
0,7.2,0, 8/12/1977
0,2.7,0, 9/12/1977
0,10.2,0,10/12/1977
0,10.5,0,11/12/1977
0,9.5,0,12/12/1977
0,8,0,13/12/1977
0,1.5,0,14/12/1977
0,1.1,0,15/12/1977
1.2,3,0,16/12/1977
0,4.6,0,17/12/1977
0,2.8,0,18/12/1977
2,7.5,0,19/12/1977
2.2,8,0,20/12/1977
1.7,10,0,21/12/1977
0.2,-1.3,0,22/12/1977
0,6,0.2,23/12/1977
3.4,5.1,0,24/12/1977
0,4.6,0,25/12/1977
0,0.6,0,26/12/1977
0,0.8,0,27/12/1977
0,1.7,0,28/12/1977
0,5.3,0,29/12/1977
0,7.4,0,30/12/1977
1.6,10.8,0,31/12/1977
1.5,4.2,0, 1/01/1978
0,4.4,0, 2/01/1978
0,14,0, 3/01/1978
0,10,0, 4/01/1978
0,8.3,0, 5/01/1978
0,1.5,0, 6/01/1978
1.3,-1,0, 7/01/1978
0,-2.7,0, 8/01/1978
0,4.7,1.3, 9/01/1978
0.5,6,0,10/01/1978
6,10.5,0,11/01/1978
1.4,6,0,12/01/1978
0,0,0,13/01/1978
0,4.5,0,14/01/1978
0,5.9,0,15/01/1978
0,4,0,16/01/1978
0,5,0,17/01/1978
19.3,8.7,0,18/01/1978
0,10,0,19/01/1978
0,14.9,0,20/01/1978
